ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Your name,What is the date and time of collection?,Where are you recording the point?,"Are there no crops (fallow or pasture), one crop, or multiple crops growing in the field?",Which crop(s) are present in the field?,Other - Which crop(s) are present in the field?,"[OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?","Other - [OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?",[OPTIONAL] Additional notes,x,y
316,fdae565b-00a4-4217-b781-beb628eee79c,3/16/2023 1:24:04 AM,,3/16/2023 1:24:04 AM,,Charlotte Cabaccang,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,"Growing lettuce, daikon radish, and leaks",-156.286203924176,20.8159129918935
317,1a4d522b-6fcb-450d-b706-ec9e46ff7b33,3/16/2023 1:28:26 AM,,3/16/2023 1:28:26 AM,,Charlotte Cabaccang,,On the edge of the field,One crop,other,4 rows of leaks,,,Uses drip irrigation,-156.286301804907,20.8160867705427
318,93fb399e-22f0-4415-91f3-68facdd54960,3/16/2023 1:30:50 AM,,3/16/2023 1:30:50 AM,,Charlotte Cabaccang,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,Growing kale and rubarb,-156.285740437916,20.8158149487064
319,60e08a4e-23ae-413b-897a-b980434415d2,3/16/2023 1:40:01 AM,,3/16/2023 1:40:01 AM,,Charlotte Cabaccang,,On the edge of the field,Multiple crops,"vegetables_(e.g._leafy_greens_c,other",Include arugula and other leafy greens,,,Whole farm mostly uses a drip system and uses smaller plots.,-156.285820106003,20.8154273991548
320,038e084e-6927-43d3-bcbe-17d24823865a,3/16/2023 2:24:46 AM,,3/16/2023 2:24:46 AM,,Joshua D Hinau-Nanod,,Inside the field,One crop,other,Lettuce ,,,Different varieties of head lettuce ,-156.286084194311,20.8156098215111
321,7519b65b-1960-4838-a2de-ccd8cfe448a3,3/16/2023 2:24:51 AM,,3/16/2023 2:24:51 AM,,Joshua D Hinau-Nanod,,Inside the field,One crop,other,Potatoes ,,,,-156.286175009366,20.8158040779621
322,fb45086d-8d3d-46b2-bcad-b46a54e1dee9,3/16/2023 2:24:57 AM,,3/16/2023 2:24:57 AM,,Joshu D Hinau-Nanod,,Inside the field,One crop,other,Lettuces,,,Different verities of lettuce ,-156.286224085121,20.8159069002793
323,cb52627b-3b81-43be-a925-0c8b365cfb8c,3/16/2023 2:26:30 AM,,3/16/2023 2:26:30 AM,,Joshua D Hinau-Nanod,,Inside the field,One crop,other,Green onions ,,,,-156.286179778482,20.8158609304733
324,18166790-8ad1-4edd-b450-f0518c33cb96,3/16/2023 2:26:38 AM,,3/16/2023 2:26:38 AM,,Joshua D Hinau-Nanod,,Inside the field,One crop,other,Green Onions ,,,10 rows of green onions ,-156.28633966293,20.8161460040055
325,0357ac80-9d2d-4c5e-8ad3-8f47c5f42a4c,3/17/2023 1:04:38 AM,,3/17/2023 1:04:38 AM,,Geiv,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,not applicable,,,-156.922223620384,20.8177604564066
326,f50786b7-c854-49e4-818a-32fd4b388a18,3/17/2023 5:33:01 AM,,3/17/2023 5:33:01 AM,,geiv,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,not applicable,,there’s eggplants growing ,-156.922272054789,20.817748053224
327,667f2714-c5fc-4e8a-92dd-845412bbc518,3/17/2023 5:33:27 AM,,3/17/2023 5:33:27 AM,,geiv,,On the edge of the field,Multiple crops,"other,vegetables_(e.g._leafy_greens_c,kalo_(taro)_-_mala_(dryland)","tumerick, eggplant, cassava, taro, sweet potato, cabbage, siote, dragon fruit, papaya, pumpkin, onions, carrots, ",other,cassava,"— Rocks
— Mang weeds
— Some trash around it
— Yeilding
— Irrigation
— Grower claimed it was a permaculture garden, doesn’t experience pests. ",-156.922286733512,20.8177143688715
328,5cb28c4f-a063-4fff-88ad-a1681d92e059,3/17/2023 5:33:47 AM,,3/17/2023 5:33:47 AM,,Hershey Lei,,On the edge of the field,Multiple crops,other,"Tomatoes, green onions, (maybe)  pumpkin or squash",not applicable,,"— Well taken care of 
— Deer fence
— No pests
— Irrigated 
— Yeilding",-156.92227914223,20.8176717679936
329,a3fec7dc-d911-4d0e-ae91-85e48f33b6ed,3/17/2023 5:34:11 AM,,3/17/2023 5:34:11 AM,,Hershey Lei,,On the edge of the field,Multiple crops,"other,kalo_(taro)_-_mala_(dryland)","green onions, tomatoes, leafy greens",not applicable,,"— Well taken care of
— Yeilding
— Deer fence 
— Irrigation",-156.922352546625,20.8175741085286
330,d8820285-948f-4a02-b621-0f774ec21d78,3/17/2023 5:34:38 AM,,3/17/2023 5:34:38 AM,,Hershey Lei,,On the edge of the field,Multiple crops,other,Purple cabbage,other,Papaya,"— Fenced off 
— Irrigated
— Few weeds ",-156.922357674263,20.8175896186767
331,e9d47c8c-3872-4d55-9ba1-0d0081c823a4,3/17/2023 10:14:55 AM,,3/17/2023 10:14:55 AM,,Miguel Nakao,,On the edge of the field,Home garden or irregular,"kalo_(taro)_-_mala_(dryland),other,vegetables_(e.g._leafy_greens_c",Tomato’s and cactus,,,Fenced off ,-156.92246182102,20.8175285310786
332,9739f315-a83e-42c1-9572-9c774609abcb,3/17/2023 10:15:00 AM,,3/17/2023 10:15:00 AM,,Miguel Nakao,,On the edge of the field,Home garden or irregular,vegetables_(e.g._leafy_greens_c,,,,Irrigated with a hose and fenced off,-156.922522115428,20.8175280855925
333,a3ed4a9a-8412-44f9-9f89-4a2d3cb8c721,3/17/2023 10:15:03 AM,,3/17/2023 10:15:03 AM,,Miguel Nakao,,On the edge of the field,Home garden or irregular,"vegetables_(e.g._leafy_greens_c,other","Ti Leaf, and cactus",,,Fenced off and irrigated with a hose,-156.922485776315,20.8174901949265
334,efcccf96-91da-4a0f-a6f9-ac29778e90a3,3/19/2023 1:29:33 AM,,3/19/2023 1:29:33 AM,,Andrei,,Inside the field,Home garden or irregular,,,other,"Eggplant, string beans, bananas tomatoes, pepper, green onions, potatoes, papaya, dragon fruit, squash","Has access to irrigation, has fencing, dominant crop is eggplant 
Has problems with animals ",-156.925508771837,20.8302434337464
335,02ca5735-ff83-44f2-9f99-6ea9113f9ce5,3/20/2023 6:48:19 PM,,3/20/2023 6:48:19 PM,,Hershey Lei,,Inside the field,Home garden or irregular,"other,mai`a_(banana)","lime tree, bay leaf, and gondori",,,"— Quite neglected
— No irrigation
— No yeilding
— Deer fence
— Used to be filled with vegetables (constantly)
— VERY rich in land
— Few things still growing",-156.916576849194,20.8199274062725
336,7687769c-3eae-498e-93b9-fb40db2fa7ac,3/20/2023 7:41:34 PM,,3/20/2023 7:41:34 PM,,Hershey Lei,,On the edge of the field,Fallow,other,weeds and flowers,,,"— Unused land
— No plants growing
— trash",-156.922233704867,20.8177332980779
337,a451d744-e2ae-4b11-9362-8eb2ec1c9432,3/20/2023 8:39:31 PM,,3/20/2023 8:39:31 PM,,Rennan,,On the edge of the field,Multiple crops,"vegetables_(e.g._leafy_greens_c,other,kalo_(taro)_-_mala_(dryland)",,,,,-156.922436004167,20.8175980642434
338,1fb271f1-78ab-4d1a-89a3-429cfb887eec,3/20/2023 8:40:12 PM,,3/20/2023 8:40:12 PM,,Rennan,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),vegetables_(e.g._leafy_greens_c",,,,,-156.922431935951,20.8175702884008
339,1a636adb-0112-47c7-95f5-367809507f2b,3/22/2023 1:07:04 AM,,3/22/2023 1:07:04 AM,,Alexander ,,On the edge of the field,Multiple crops,"other,tropical_fruits,vegetables_(e.g._leafy_greens_c"," Tomatoes, eggplant, cabbage, ti leaves ",,,,-156.922140697663,20.8174758440742
340,9b8f19e6-5c6e-419d-a45d-c2a98b13c34f,3/22/2023 1:08:57 AM,,3/22/2023 1:08:57 AM,,Makamae kadooka,,On the edge of the field,Home garden or irregular,,,other,"Malunggay, eggplant, green onion, pumpkin ",Decent amount of weeds ,-156.922272312217,20.8173533123048
341,4ae1620b-39dc-485c-8a39-789b16c1c3a5,3/22/2023 1:09:40 AM,,3/22/2023 1:09:40 AM,,Alexander ,,On the edge of the field,One crop,tropical_fruits,,,,"Only one tree, lots of weeds ",-156.922160170506,20.8175301388852
342,996e235f-60fa-4568-9866-a67a18487281,3/22/2023 1:10:20 AM,,3/22/2023 1:10:20 AM,,Makamae kadooka ,,On the edge of the field,Home garden or irregular,"tropical_fruits,vegetables_(e.g._leafy_greens_c",,,,,-156.922274414418,20.8173983471142
343,189d7980-3e97-4e52-ae75-49bbd456c10c,3/22/2023 1:12:16 AM,,3/22/2023 1:12:16 AM,,Alexander ,,On the edge of the field,Multiple crops,"tropical_fruits,vegetables_(e.g._leafy_greens_c,other",Ti leaves ,,,,-156.922131239621,20.817549547284
344,574098c6-316a-41a1-a846-9c4a9ee2451f,3/22/2023 1:12:46 AM,,3/22/2023 1:12:46 AM,,Makamae kadooka,,On the edge of the field,Home garden or irregular,"vegetables_(e.g._leafy_greens_c,tropical_fruits,other","Cactus,malunggay, corn, pumpkin, eggplant",,,,-156.922222632704,20.8174626303564
345,b40b81cf-fb5b-4c50-9b2f-a16523a70241,3/25/2023 10:56:28 PM,,3/25/2023 10:56:28 PM,,Brigette Tomas ,,Inside the field,Multiple crops,"mai`a_(banana),kalo_(taro)_-_mala_(dryland),tropical_fruits,vegetables_(e.g._leafy_greens_c",,,,"Harvest pigs and deer
tropical fruits - papaya",-156.54126704,20.97053801
346,51f92d0a-be17-41ff-b9c7-c54fc89199ce,3/25/2023 10:56:32 PM,,3/25/2023 10:56:32 PM,,Brigette Tomas,,Inside the field,Multiple crops,"mai`a_(banana),tropical_fruits,kalo_(taro)_-_mala_(dryland)",,,,"Papaya, Hawaiian chili plant,
lilikoi in the gulch
Bee hive in field",-156.54133656,20.97058173
347,990add74-ea10-4fe7-8b40-8211ae67bca4,3/25/2023 10:56:35 PM,,3/25/2023 10:56:35 PM,,Brigette Tomas,,Inside the field,Home garden or irregular,kalo_(taro)_-_mala_(dryland),,,,In animal field goats and horses,-156.54095556,20.97036742
348,38a77636-70a4-497a-bc8e-636220ac1fa8,3/25/2023 10:56:39 PM,,3/25/2023 10:56:39 PM,,Brigette Tomas,,Inside the field,One crop,mai`a_(banana),,,,"Grass planted also
Field used to have spinich but animals ate them ",-156.5411104,20.9707328
349,fc2acb83-8afb-4a83-aa03-017db3363ff7,3/25/2023 10:56:44 PM,,3/25/2023 10:56:44 PM,,Brigette Tomas,,Inside the field,Multiple crops,tropical_fruits,,,,"Noni tree 
lilikoi tree",-156.54148182,20.97088142
350,57e3fbb7-eca7-47eb-8bd2-1ba94aa1da69,3/25/2023 10:56:48 PM,,3/25/2023 10:56:48 PM,,Brigette Tomas,,Inside the field,Multiple crops,mai`a_(banana),,,,"Mamaki 
Glyceria tree
Kukui nut tree
Papaya tree",-156.54123624,20.97084838
351,ca2bd86f-2394-49bd-a8b2-e3d1c0e33549,3/25/2023 10:56:54 PM,,3/25/2023 10:56:54 PM,,Brigette Tomas,,On the edge of the field,Multiple crops,kalo_(taro)_-_mala_(dryland),,,,"Korean Spinich
madagascar chestnut
",-156.54125571,20.97028265
352,fc5b3abd-aa23-482d-9fb9-d4b7e85df00f,3/25/2023 10:56:59 PM,,3/25/2023 10:56:59 PM,,Brigette Tomas,,Inside the field,Multiple crops,mai`a_(banana),,,,Vanilla Bean Tree,-156.54143264,20.97040665
353,4bedb31a-1d56-4006-9b21-d8225060d244,3/25/2023 10:57:03 PM,,3/25/2023 10:57:03 PM,,Brigette Tomas,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),mai`a_(banana),`ulu_(breadfruit)",,,,"Fallow
Mixed garden",-156.54089289,20.97009892
354,7038d73a-ecc8-4843-9aaf-03e1238e8868,3/25/2023 11:22:29 PM,,3/25/2023 11:22:29 PM,,Mary,,Inside the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),mai`a_(banana),`uala_(sweet_potato),other,tropical_fruits",Chili pepper,,,Agroforest with understory crops under banana,-156.54134162,20.97055273
355,dee84da8-d4e2-4462-9b57-7e36102b65ed,3/25/2023 11:22:33 PM,,3/25/2023 11:22:33 PM,,Mary,,Inside the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),mai`a_(banana),`uala_(sweet_potato),other",Herbs,,,Mostly banana and sweet potato,-156.541221874193,20.97057331528
356,fca7c8c7-874f-4ccc-8356-e2b93572ee21,3/25/2023 11:22:35 PM,,3/25/2023 11:22:35 PM,,Mary,,Inside the field,One crop,mai`a_(banana),,,,,-156.54132095,20.97060668
357,0bcd370a-afd3-4d62-8a8e-363fbcfcb122,3/25/2023 11:22:39 PM,,3/25/2023 11:22:39 PM,,Mary,,Inside the field,One crop,other,Honey bees,,,,-156.54138205,20.97060419
358,db5d42e9-61d5-4d8e-94c5-557529b303a9,3/25/2023 11:22:42 PM,,3/25/2023 11:22:42 PM,,Mary,,Inside the field,Multiple crops,"tropical_fruits,other",Papaya Bitter melon,,,,-156.5411578,20.97042476
359,02ddfdc7-eb47-4c81-a0b1-04a81bf93a9a,3/25/2023 11:22:45 PM,,3/25/2023 11:22:45 PM,,Mary,,On the edge of the field,One crop,kalo_(taro)_-_mala_(dryland),,,,,-156.54089698,20.97043889
360,3c1724d8-16df-4f78-a986-474d8c1d3b85,3/25/2023 11:22:48 PM,,3/25/2023 11:22:48 PM,,Mary,,Inside the field,One crop,mai`a_(banana),,,,,-156.54108537,20.97074073
361,185080fe-5d27-4f6c-b86c-b608f52d589f,3/25/2023 11:22:52 PM,,3/25/2023 11:22:52 PM,,Mary,,Inside the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),mai`a_(banana),vegetables_(e.g._leafy_greens_c",,,,Squash,-156.54115053,20.97060747
362,8a373a41-8e82-473d-b300-9c155893b7d7,3/25/2023 11:22:55 PM,,3/25/2023 11:22:55 PM,,Mary,,Inside the field,Multiple crops,tropical_fruits,,,,Citrus noni,-156.54149242,20.97089762
363,b1c73150-8b7c-4826-bdac-108c8133348d,3/25/2023 11:22:59 PM,,3/25/2023 11:22:59 PM,,Mary,,On the edge of the field,One crop,mai`a_(banana),,,,,-156.54144834,20.97089747
364,2b71416a-634f-4148-93f7-a2866d4ef44b,3/25/2023 11:23:04 PM,,3/25/2023 11:23:04 PM,,Mary,,On the edge of the field,Fallow,,,,,,-156.54102524,20.97080688
365,a81497d8-a3bb-40bf-8235-b989bdda4ff8,3/25/2023 11:23:07 PM,,3/25/2023 11:23:07 PM,,Mary,,On the edge of the field,Fallow,,,,,,-156.5408237,20.97065244
366,acfe1b7a-5304-4d79-b1dc-a134d7487c0a,3/25/2023 11:23:09 PM,,3/25/2023 11:23:09 PM,,Mary,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),other",,,,,-156.54089094,20.9703126
367,ec5ab138-5aee-4b1a-81b6-2278b758e3b2,3/25/2023 11:23:13 PM,,3/25/2023 11:23:13 PM,,Mary,,Inside the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),`uala_(sweet_potato),mai`a_(banana)",,,,,-156.54127405,20.97027905
368,c3280176-f22a-499c-bd80-7dfcc13d45bc,3/25/2023 11:23:16 PM,,3/25/2023 11:23:16 PM,,Mary,,Inside the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),tropical_fruits,`uala_(sweet_potato)",,,,,-156.54139616,20.9703396
369,037aa0c0-3b2e-4a69-afa5-a02a2fdafec4,3/25/2023 11:23:20 PM,,3/25/2023 11:23:20 PM,,Mary,,Inside the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),mai`a_(banana)",,,,Vanilla bean,-156.54142125,20.97036809
370,aa6a61da-9065-4f0a-a10e-be048376dc05,3/25/2023 11:23:23 PM,,3/25/2023 11:23:23 PM,,Mary,,Inside the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),mai`a_(banana)",,,,,-156.54140818,20.97036377
371,6ccbc060-b703-4980-b1fc-704ff1ca37a9,3/25/2023 11:23:27 PM,,3/25/2023 11:23:27 PM,,Mary,,On the edge of the field,Multiple crops,"vegetables_(e.g._leafy_greens_c,tropical_fruits,kalo_(taro)_-_mala_(dryland)",,,,,-156.54089378,20.97006352
372,83b0fb1b-3363-491f-8861-e99c6e4e3a4c,3/25/2023 11:23:30 PM,,3/25/2023 11:23:30 PM,,Mary,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),`ulu_(breadfruit),tropical_fruits",,,,,-156.54056086,20.96995389
373,c4385f20-8c71-4225-bdd0-7fa85d75262c,3/25/2023 11:23:33 PM,,3/25/2023 11:23:33 PM,,Mary,,On the edge of the field,One crop,tropical_fruits,,,,Mountain apple,-156.54041384,20.96984947
374,7f00f10f-2a6f-4cfc-8f6c-ebf8b347146d,3/26/2023 11:28:50 PM,,3/26/2023 11:28:50 PM,,Brigette Tomas ,,Inside the field,One crop,coffee,,,,"windbreak and shade trees
Grass
farm used to grow corn and asparagus.",-156.35179442,20.76647376
375,6305a3f7-d6fd-4bdb-a975-06e17342ce8e,3/26/2023 11:39:05 PM,,3/26/2023 11:39:05 PM,,Brigette Tomas,,Inside the field,Multiple crops,"coffee,mai`a_(banana),vegetables_(e.g._leafy_greens_c",,,,Squash,-156.35187908,20.76688204
376,84c6e9eb-e512-46d4-a85f-1d91eef99110,3/26/2023 11:39:25 PM,,3/26/2023 11:39:25 PM,,Brigette Tomas,,Inside the field,One crop,tropical_fruits,,,,"Mango
fallow",-156.35196274,20.76690208
377,05743a98-d68d-4d20-ab0d-c9e0cb4f0602,3/27/2023 1:44:23 AM,,3/27/2023 1:44:23 AM,,Charlotte Cabaccang,,On the edge of the field,One crop,other,Banana,,,Used to be a grove citrus trees and other ,-156.541056884598,20.9707046672897
378,52a44d92-4840-4650-a089-a76e294edc0e,3/27/2023 1:44:36 AM,,3/27/2023 1:44:36 AM,,CC,,On the edge of the field,One crop,other,Banana,,,Used to grow canes but planted grass forulch and feed,-156.541263010969,20.9707131780906
379,9a8cedfb-7a9d-4f72-a316-1f7801de2f3b,3/27/2023 1:44:50 AM,,3/27/2023 1:44:50 AM,,CC,,On the edge of the field,Multiple crops,other,No no and citrus trees,,,,-156.541479350378,20.9709121068499
380,94e33366-091c-4059-9da7-47828bd449db,3/27/2023 1:45:00 AM,,3/27/2023 1:45:00 AM,,CC,,On the edge of the field,One crop,kalo_(taro)_-_loʻi_(wetland),,,,Not a wetland. ,-156.541045050216,20.9707550052768
381,919b4c1d-7635-4fed-a7d1-0eaae7147a60,3/27/2023 1:45:11 AM,,3/27/2023 1:45:11 AM,,CC,,On the edge of the field,One crop,kalo_(taro)_-_loʻi_(wetland),,,,Not a wetland,-156.54093015922,20.9707148849407
382,71568824-a40f-4407-9437-157c7c4a9670,3/27/2023 1:45:22 AM,,3/27/2023 1:45:22 AM,,CC,,On the edge of the field,Multiple crops,"kalo_(taro)_-_loʻi_(wetland),other","Guava, banana",,,,-156.540831834505,20.9705717935995
383,0f23a887-79bb-4ef1-a0fb-0cc2abc0c4e0,3/27/2023 1:45:32 AM,,3/27/2023 1:45:32 AM,,CC,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),`uala_(sweet_potato)",,,,Also uses reeds as pasture,-156.541240172709,20.9703017828523
384,666ca3b8-4226-47f2-86db-a922176d3e3a,3/27/2023 1:45:41 AM,,3/27/2023 1:45:41 AM,,CC,,Inside the field,One crop,coffee,,,,They use the trees as shade for the coffee and collect wood chips to utilize all its potential. They said they decreased soil erosion by 95%. Plot used to be used for corn and asparagus.,-156.35178009994,20.7665274152726
385,e133e20a-d873-4e38-8240-b48c5fc9bbe2,3/27/2023 1:45:54 AM,,3/27/2023 1:45:54 AM,,CC,,Inside the field,One crop,other,Mango,,,Uses big trees planted 20 years ago to shade most of the property and acts as windbreaks. Also uses banana trees as windbreaks (they also get harvested). ,-156.35190376702,20.7669435875341
386,379f6815-05e0-4a19-a962-ca8d5c103953,3/27/2023 1:46:04 AM,,3/27/2023 1:46:04 AM,,CC,,On the edge of the field,Multiple crops,other,Citrus and Longan trees,,,Most shade trees are nitrogen fixing and used as infinite wood chips (cut branches only so if can bounce back every year) ,-156.352142620526,20.767072437062
387,0d69da6e-6a67-4163-ba6c-37f0f71432d3,3/27/2023 1:46:15 AM,,3/27/2023 1:46:15 AM,,CC,,On the edge of the field,One crop,other,Squash,,,,-156.351601987466,20.767328971321
388,045d340a-33b9-4ee5-9ec1-4532d1a9c332,3/27/2023 1:46:27 AM,,3/27/2023 1:46:27 AM,,CC,,On the edge of the field,Home garden or irregular,other,25 tons of food waist and roadkill and fish waist from boats.,,,"Used 25 tons of food waiSt and roadkill to add to their compost, and they solely use this pile for compost for the whole farm",-156.351450087427,20.767192711612
389,5db0c5fc-3c29-4443-b168-5f1133f930b9,3/27/2023 1:46:39 AM,,3/27/2023 1:46:39 AM,,Cc,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),vegetables_(e.g._leafy_greens_c,pineapple,other","Dragonsfruit, tomatoes",,,Uses ratio after harvesting to prevent weeds and lets insects or microbes wat away at the remaining plant matter.,-156.351135802898,20.7668384527077
390,a9b19f38-31d5-4ded-b68f-876b4f163d43,3/27/2023 1:46:51 AM,,3/27/2023 1:46:51 AM,,CC,,Inside the field,Multiple crops,"other,tropical_fruits","Papayas, mangoes, and other fruit trees",,,,-156.350879400869,20.7665216917412
391,a7c8c2a5-7630-4a1a-a241-eecb16ec695c,3/27/2023 2:48:42 AM,,3/27/2023 2:48:42 AM,,Brigette Tomas,,Inside the field,One crop,tropical_fruits,,,,Grapefruit,-156.35212206,20.7671456
392,451ecb55-6647-4bf3-9821-0cd800a18bc9,3/27/2023 2:48:48 AM,,3/27/2023 2:48:48 AM,,Brigette Tomas,,Inside the field,Multiple crops,other,"Garlic, Fig trees",,,Inside a green house ,-156.3519227,20.76726998
393,86c33ab9-4b2e-4dfc-95a9-6c0548450837,3/27/2023 2:48:53 AM,,3/27/2023 2:48:53 AM,,Brigette Tomas,,Inside the field,Multiple crops,other,"Beans, cucumbers, garlic, pigeon peas, and sugarcane",,,Green house sturucture just went up,-156.35158641,20.76723465
394,cc69ce6e-4cd2-461a-bf98-ae4f1c76eeb8,3/27/2023 2:48:57 AM,,3/27/2023 2:48:57 AM,,Brigette Tomas,,On the edge of the field,Home garden or irregular,other,Composte area ,,,Composte area,-156.35144978,20.7671259
395,00fb3e69-0ae1-46c7-8e36-99c3ea6d8fb1,3/27/2023 2:49:02 AM,,3/27/2023 2:49:02 AM,,Brigette Tomas,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,"Lettuce, grass( cover crop), mustard lettuce, tomatoes",-156.35121051,20.76681756
396,a2dd7506-211e-4fe8-adaa-076ee376b57a,3/27/2023 2:49:06 AM,,3/27/2023 2:49:06 AM,,Brigette Tomas,,Inside the field,Multiple crops,"avocado,tropical_fruits",,,,Mango and Avocados,-156.35098376,20.76654302
397,e7520f94-2eca-4eac-a58f-4188e00bfe96,3/27/2023 2:49:10 AM,,3/27/2023 2:49:10 AM,,Brigette Tomas,,Inside the field,One crop,,,,,"Longon tree
Bee keeping ",-156.35076873,20.76642957
398,4432fbbc-8cc3-4ef1-9992-44d76f5c0424,3/27/2023 2:49:14 AM,,3/27/2023 2:49:14 AM,,Brigette Tomas,,Inside the field,One crop,coffee,,,,,-156.35078401,20.76632198
399,54b968d7-737d-4caa-aee5-cbfe87669996,3/27/2023 2:49:20 AM,,3/27/2023 2:49:20 AM,,Brigette Tomas,,Inside the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),other",Garlic,other,Garlic,Part of mixed crop field,-156.35158891,20.76636398
400,3f9cedf8-00cf-4a08-82b8-ef6611a3ec4d,3/27/2023 2:49:26 AM,,3/27/2023 2:49:26 AM,,Brigette Tomas,,On the edge of the field,Multiple crops,"mai`a_(banana),niu_(coconut),sugarcane",,,,,-156.35164754,20.76462859
401,3c8f7e04-57f5-423f-bc26-29067a7dcaa1,3/27/2023 9:41:51 PM,,3/27/2023 9:41:51 PM,,Hunter Welch Scott,,On the edge of the field,One crop,macadamia_nut,,,,,-157.047876666667,21.1672433333333
402,03b27c2e-66a1-4234-826b-c8d7c4176815,3/27/2023 9:41:58 PM,,3/27/2023 9:41:58 PM,,Hunter Welch Scott,,On the edge of the field,One crop,macadamia_nut,,,,,-157.047545,21.1671966666667
403,d168b770-1867-4f5b-9cab-f14bac827537,3/27/2023 9:42:05 PM,,3/27/2023 9:42:05 PM,,Hunter Welch Scott,,On the edge of the field,One crop,other,Kukui Nut,,,"There is lots of black plastic in the ground from past corprate farms
",-157.04726,21.1668766666667
404,8bc9ac32-2c2c-4f3e-bc54-73da36ee81b4,3/28/2023 12:51:41 AM,,3/28/2023 12:51:41 AM,,Kahaku,,On the edge of the field,Multiple crops,"mai`a_(banana),other,tropical_fruits","Citrus trees, sour sap, mango",tropical fruits,,Kahaku,-156.850211779301,21.0577172178787
405,ad7f4056-a821-40b0-ad66-61ff327fd06b,3/28/2023 12:51:49 AM,,3/28/2023 12:51:49 AM,,Kairee,,On the edge of the field,Multiple crops,"mai`a_(banana),tropical_fruits,other","Citrus trees, sour sap, mango",tropical fruits,,,-156.850176674378,21.0576856749472
406,3b18eb12-3a85-456d-89e1-52ea001757b1,3/28/2023 12:51:56 AM,,3/28/2023 12:51:56 AM,,Kahaku,,Inside the field,Multiple crops,"mai`a_(banana),tropical_fruits,other","Citrus trees, sour sap, mango, calamungay, milo, kukui",tropical fruits,,,-156.85024281991,21.0577731570327
407,7e71772e-64d7-4ba4-be2a-0ed2f60d5862,3/28/2023 12:52:02 AM,,3/28/2023 12:52:02 AM,,Kairee,,Inside the field,Multiple crops,"mai`a_(banana),tropical_fruits,other","Citrus trees, sour sap, mango, calamungay, milo, kukui",tropical fruits,,,-156.850235604647,21.0577527510428
408,b44b8f69-f506-4a6c-a610-d4ebe9935985,3/28/2023 12:52:08 AM,,3/28/2023 12:52:08 AM,,Kairee,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),mai`a_(banana)",,kalo (taro) - mala (dryland),,,-156.849988791131,21.0575960514084
409,a9af681e-e67a-4a3b-a067-bc7489d23f93,3/28/2023 12:52:12 AM,,3/28/2023 12:52:12 AM,,Kahaku,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),mai`a_(banana)",,kalo (taro) - mala (dryland),,,-156.849972650463,21.0575919723985
410,863d1032-b946-417e-8410-25ba73d28c85,3/28/2023 12:52:18 AM,,3/28/2023 12:52:18 AM,,KP,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),other","Tiare, dragonfruit, puakenikrni, kukui",`ulu (breadfruit),,,-156.849528184999,21.0577832397893
411,0776cccb-36c2-4757-8848-e33d900ba5b0,3/28/2023 12:52:24 AM,,3/28/2023 12:52:24 AM,,KLV,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),tropical_fruits,other","Tiare, dragonfruit, puakenikrni, kukui",`ulu (breadfruit),,,-156.84939878845,21.0578587227785
412,a817f483-0f35-4f9d-a90b-56923834a93a,3/28/2023 12:52:28 AM,,3/28/2023 12:52:28 AM,,KP,,On the edge of the field,Multiple crops,"tropical_fruits,`ulu_(breadfruit),mai`a_(banana)",,`ulu (breadfruit),,,-156.849336281897,21.0581413071965
413,54aed058-7b29-4d66-8dc5-7636210bcb68,3/28/2023 12:52:34 AM,,3/28/2023 12:52:34 AM,,KLV,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),tropical_fruits,other",Mountain apple,`ulu (breadfruit),,,-156.84927303173,21.0581587232001
